question,topics,answer
"In the 2010 census, how many US cities (not metro areas) had a population greater than 1 million?",US Facts;Geography,9
What is the shortest straight line distance in miles between two US state capitals?,US Facts;Geography,41
"In millions, what is the largest number of votes ever cast for a US Presidential candidate in a single election (through the 2016 election)?",US Facts;History,69.49
In what year did the US flag get its 25th star?,US Facts;History,1836
How many different US states have national parks (as of the end of 2019)?,US Facts;Geography,29
"In feet, what is the difference between the highest and lowest elevations in the state of Florida?",US Facts;Geography,345
"How many US state capitals lie to the west of Los Angeles, CA or to the east of Miami, FL?",US Facts;Geography,19
What was the highest temperature (in Fahrenheit) ever recorded in the US (as of 2019)?,US Facts;Geography,134.1
"According to the US Department of the Interior in 2012, what percent of the land in the US is owned by the federal government?",US Facts;Geography,28
What was the first year in the 20th century in which a name besides Mary was the most popular name for new baby girls in the US? (replaced by the name Linda),US Facts;History,1947
What is the length (in miles) of the border between the US and Mexico?,US Facts;Geography,1989
"As of 2016, what is the median age of the US population?",US Facts,37.9
"Including the names of the signers, how many words are in the US Declaration of Independence?",US Facts;History,1458
How many US states do not have any letters in their name that are used more than once?,US Facts,9
In what year did China become the first country with a population greater than 1 billion?,World Facts;Geography,1982
The largest earthquake ever recorded in the world was in Chile in 1960. What was the magnitude of this earthquake on the Richter scale?,World Facts;Science,9.5
"In feet, what was the original width of the lock chambers in the Panama Canal?",World Facts;Geography,110
"According to the United Nations, what percent of the world's population lived in urban areas in 2014?",World Facts;Geography,54
"In millimeters, what did the 2013 Intergovernmental Panel on Climate Change estimate as the average annual sea level rise?",World Facts;Science,3.2
How old was the oldest person to ever reach the summit of Mount Everest (as of 2017)?,World Facts;Geography,80
How many countries have land that touches the equator (as of 2017)?,World Facts;Geography,11
What was the largest combined score in any of the first 50 Super Bowls?,Sport,75
In what year was the first electronically timed and officially recognized 100m sprint measured under 10 seconds?,Sport,1968
"ESPN cable subscriptions have been declining as ""cord-cutting' has increased in popularity. What was their peak household subscriber count (in millions) in 2011?",Sport,100.1
"As of 2019, how many US metropolitan areas had teams from all 4 major US sports leagues (NFL, NBA, MLB, NHL)?",Sport,13
"In whole dollars, what was the highest payout for a $2 bet on a winning horse in Kentucky Derby history (as of 2019)?",Sport;Money,184
"How many home runs were hit in Major League Baseball in 2000, the peak of the steroid era?",Sport,5693
"In the 2016 Summer Olympics, how many different nations received gold medals?",Sport,59
Four new elements were added to the Periodic Table in 2015. What was the new total number of elements after that addition?,Science,118
"In seconds, how long does it take light from the sun to reach Earth?",Science,499
What is the sum of the first 1000 digits after the decimal point in pi?,Science,4476
"On average, how many times does the International Space Station circle the Earth every day?",Science,15.5
"Given a standard deck of cards (4 suits, 13 values), what is the percent chance that a random set of 5 cards contains exactly one pair and no better Poker hand?",Science,42.2
"In what year did Sir Isaac Newton first publish his Principia, where he stated his laws of motion and gravitation?",Science;History,1687
What is the 100th prime number?,Science,541
"As of 2007, what percent of the world's population lives in the US?",General Knowledge;Geography,4.57
How many #1 singles did the Beatles have on the Billboard Hot 100 singles chart?,General Knowledge;Music,21
"As of 2007, what percent of the world's population speaks Spanish as their first language?",General Knowledge;Geography,4.88
"In 2004, how many new SUVs were sold in the US?",General Knowledge,4623960
"In the 1961-62 NBA season, Wilt Chamberlain set the record for most points scored. How many points did he score per game?",General Knowledge;Sport,50.36
How old was Nirvana lead singer Kurt Cobain when the group released their hit 1991 album Nevermind?,General Knowledge;Music,24
"In millions, how many votes were cast to crown the 2007 American Idol on the TV show's 6th season finale?",General Knowledge;Film,74
Russia is the world's largest country. What percent of the world's total land area does Russia make up?,General Knowledge;Geography,13
"How old was Martin Luther King, Jr. when he was assassinated in 1968?",General Knowledge;History,39
"The Pablo Picasso painting The Dream was purchased for $7,000 in 1941. In millions of dollars, how much was it sold for in 1997?",General Knowledge;Money,48.4
For how many months does the average US $1 bill stay in circulation?,General Knowledge;Money,21
In what year was the Heisman Trophy first awarded to the best US college football player?,General Knowledge;Sport,1935
How many Emmy nominations did Comedy Central's The Colbert Report receive for its first season?,General Knowledge;Film,4
In what year did explorer Ferdinand Magellan embark on the first successful attempt to sail around the world?,General Knowledge;History,1519
34 million people lived in California in 2000. How many people lived in California in 1900?,General Knowledge;Geography,1485053
How old was Joan of Arc when she was burned at the stake in 1431?,General Knowledge;History,19
"As of 2007, what percent of US residents are Caucasian?",General Knowledge,66.38
"In 2006, what percent of US adults had a member account at Blockbuster?",General Knowledge,49.93
"The are 58,249 names etched in the Vietnam Veterans Memorial Wall. How many are of women?",General Knowledge;History,8
"In dollars, how much did a 3-day ticket to the original Woodstock concert cost at the gate?",General Knowledge;Music,24
In what year was an ATM machine first installed in the US?,General Knowledge;History,1969
"How many miles long is the main wall of the Great Wall of China, excluding all of its secondary branches?",General Knowledge;Geography,4163
What was the average age of US combat soldiers during the Vietnam War?,General Knowledge;History,19
"In 2006, what percent of US households subscribed to basic cable?",General Knowledge,83.96
In what year did IBM release its first personal computer?,General Knowledge;History,1981
"The record time for the Daytona 500 car race was set in 1980. In miles per hour, what was the winner's average speed?",General Knowledge;Sport,177.6
