question,topics,answer
How many planets are in the solar system?,Space,8
What year did Apollo 11 land on the moon?,Space;History,1969
How many moons does Mars have?,Space,2
How many minutes does sunlight take to reach Earth?,Space;Science,8
What year did the Hubble Space Telescope launch?,Space;History,1990
How many people have walked on the moon?,Space;History,12
How many Earth days does Mars take to orbit the sun?,Space,687
How many stars are on the flag of the European Union?,Space;Places,12
What year did the Berlin Wall come down?,History,1989
What year did the Second World War end?,History,1945
What year was the American Declaration of Independence signed?,History,1776
How many states are there in the USA?,History;Places,50
What year did the Titanic sink?,History,1912
How many wives did Henry VIII have?,History,6
What year were the first modern Olympic Games held?,History;Sports,1896
What year did the Chernobyl disaster happen?,History,1986
How many Oscars did Titanic win?,Film,11
What year was Jurassic Park released?,Film;History,1993
How many films are in the Star Wars Skywalker saga?,Film,9
How many Harry Potter films are there?,Film,8
What year was the first Toy Story released?,Film;History,1995
How many minutes long is the original Star Wars?,Film,121
How many films are in Peter Jackson's Lord of the Rings trilogy?,Film,3
How many strings does a standard guitar have?,Music,6
How many keys are on a standard piano?,Music,88
What year did the Beatles break up?,Music;History,1970
How many members were in the Beatles?,Music,4
How many symphonies did Beethoven complete?,Music,9
What year was Michael Jackson's Thriller released?,Music;History,1982
How many players per side are on a football pitch?,Sports,11
How many holes are on a full golf course?,Sports,18
How many players from each team are on a basketball court?,Sports,5
How many rings are on the Olympic flag?,Sports,5
How many minutes long is a football match before stoppage time?,Sports,90
How many points is a touchdown worth?,Sports,6
How many bases are on a baseball diamond?,Sports,4
What year was the first FIFA World Cup held?,Sports;History,1930
How many fluid ounces are in a US pint?,Food;Drink,16
How many millilitres are in a standard bottle of wine?,Food;Drink,750
At what temperature in Fahrenheit does water boil at sea level?,Food;Science,212
How many teaspoons are in a tablespoon?,Food,3
At what temperature in Celsius does water freeze?,Food;Science,0
How many pints are in a UK gallon?,Drink,8
How many degrees Celsius does water boil at?,Drink;Science,100
How many metres tall is the Eiffel Tower?,Places,330
How many countries share a border with Brazil?,Places,10
How many metres deep is the Mariana Trench at its deepest?,Places;Science,10994
How many time zones does Russia span?,Places,11
How many boroughs does New York City have?,Places,5
How many countries are in the European Union?,Places,27
How many metres tall is Mount Everest?,Places,8849
How many bones are in the adult human body?,Science;Body,206
How many elements are on the periodic table?,Science,118
How many chambers does the human heart have?,Science;Body,4
How many teeth does an adult human have?,Science;Body,32
How many chromosomes are in a human cell?,Science;Body,46
How many legs does a spider have?,Animals,8
How many hearts does an octopus have?,Animals;Science,3
How many humps does a Bactrian camel have?,Animals,2
How many months is an elephant pregnant for?,Animals,22
How many teeth does an adult dog have?,Animals;Body,42
How many eyes does a bee have?,Animals,5
